scalar,RGB_r,RGB_g,RGB_b
0.874509803922,237,220,87
0.878431372549,238,221,93
0.882352941176,239,222,99
0.886274509804,240,223,105
0.890196078431,241,224,110
0.894117647059,242,225,116
0.898039215686,243,227,121
0.901960784314,244,228,127
0.905882352941,244,229,132
0.909803921569,245,230,137
0.913725490196,246,231,143
0.917647058824,247,232,148
0.921568627451,247,233,153
0.925490196078,248,234,158
0.929411764706,249,235,163
0.933333333333,249,236,168
0.937254901961,250,237,173
0.941176470588,250,238,179
0.945098039216,251,239,184
0.949019607843,251,241,189
0.952941176471,252,242,194
0.956862745098,252,243,199
0.960784313725,253,244,204
0.964705882353,253,245,209
0.96862745098,253,246,214
0.972549019608,254,247,219
0.976470588235,254,248,224
0.980392156863,254,249,229
0.98431372549,254,251,235
0.988235294118,255,252,240
0.992156862745,255,253,245
0.996078431373,255,254,250
1.0,255,255,255
